timestamp,amount,running_balance,month_year,category
2023-01-02 00:00:00+00:00,-16.32,54688.93,2023-01,transfer
2023-01-02 00:00:00+00:00,10.0,54678.93,2023-01,transfer
2023-01-02 00:00:00+00:00,-0.59,54679.52,2023-01,savings
2023-01-01 00:00:00+00:00,-50.23,54729.75,2023-01,bills and utilities
2023-01-01 00:00:00+00:00,-0.01,54729.76,2023-01,fees and charges
2023-01-01 00:00:00+00:00,-508.72,55238.48,2023-01,transfer
2023-01-01 00:00:00+00:00,-23.94,55262.42,2023-01,groceries / food spend
2023-01-01 00:00:00+00:00,-0.01,55262.43,2023-01,finances
2023-01-01 00:00:00+00:00,-0.01,55262.44,2023-01,shopping
2023-01-01 00:00:00+00:00,0.0,55262.44,2023-01,shopping
2023-01-01 00:00:00+00:00,-0.02,55262.46,2023-01,groceries / food spend
2023-01-01 00:00:00+00:00,-0.01,55262.47,2023-01,groceries / food spend
2023-01-01 00:00:00+00:00,-0.01,55262.48,2023-01,groceries / food spend
2023-01-01 00:00:00+00:00,-0.01,55262.49,2023-01,groceries / food spend
2023-01-01 00:00:00+00:00,-0.01,55262.5,2023-01,transport
2023-01-01 00:00:00+00:00,-200.0,55462.5,2023-01,restaurants / eating out / delivery
2023-01-01 00:00:00+00:00,-0.01,55462.51,2023-01,home and garden
2023-01-01 00:00:00+00:00,-0.02,55462.53,2023-01,fees and charges
2023-01-01 00:00:00+00:00,-0.01,55462.54,2023-01,transport
2023-01-01 00:00:00+00:00,-0.02,55462.56,2023-01,entertainment
2023-01-01 00:00:00+00:00,-0.01,55462.57,2023-01,fees and charges
2023-01-01 00:00:00+00:00,-23.99,55486.56,2023-01,groceries / food spend
2023-01-01 00:00:00+00:00,-26.29,55512.85,2023-01,transfer
2023-01-01 00:00:00+00:00,-16.2,55529.05,2023-01,business services
2023-01-01 00:00:00+00:00,-10.0,55539.05,2023-01,bills and utilities
2023-01-01 00:00:00+00:00,-9.92,55548.97,2023-01,finances
2023-01-01 00:00:00+00:00,-7.43,55556.4,2023-01,finances
2023-01-01 00:00:00+00:00,-10.0,55566.4,2023-01,bills and utilities
2022-12-28 00:00:00+00:00,370.64,55195.76,2022-12,transfer
2022-12-28 00:00:00+00:00,-71.22,55266.98,2022-12,shopping
2022-12-28 00:00:00+00:00,24.84,55242.14,2022-12,transfer
2022-12-28 00:00:00+00:00,-32.72,55274.86,2022-12,transfer
2022-12-28 00:00:00+00:00,24.48,55250.38,2022-12,taxes
2022-12-27 00:00:00+00:00,-5.53,55255.91,2022-12,transfer
2022-12-27 00:00:00+00:00,107.99,55147.92,2022-12,transfer
2022-12-27 00:00:00+00:00,15.86,55132.06,2022-12,transfer
2022-12-27 00:00:00+00:00,-20.56,55152.62,2022-12,transport
2022-12-27 00:00:00+00:00,-2.29,55154.91,2022-12,finances
2022-12-27 00:00:00+00:00,-15.65,55170.56,2022-12,groceries / food spend
2022-12-27 00:00:00+00:00,-7.56,55178.12,2022-12,shopping
2022-12-25 00:00:00+00:00,70.0,55108.12,2022-12,transfer
2022-12-25 00:00:00+00:00,-39.72,55147.84,2022-12,entertainment
2022-12-25 00:00:00+00:00,-10.0,55157.84,2022-12,transfer
2022-12-25 00:00:00+00:00,-0.41,55158.25,2022-12,savings
2022-12-25 00:00:00+00:00,-14.75,55173.0,2022-12,shopping
2022-12-25 00:00:00+00:00,-0.5,55173.5,2022-12,savings
2022-12-25 00:00:00+00:00,-15.22,55188.72,2022-12,entertainment
2022-12-23 00:00:00+00:00,-30.33,55219.05,2022-12,finances
2022-12-23 00:00:00+00:00,32.5,55186.55,2022-12,transfer
2022-12-23 00:00:00+00:00,-100.0,55286.55,2022-12,transfer
2022-12-23 00:00:00+00:00,-1.57,55288.12,2022-12,savings
2022-12-23 00:00:00+00:00,-24.6,55312.72,2022-12,transfer
2022-12-22 00:00:00+00:00,-1.12,55313.84,2022-12,shopping
2022-12-22 00:00:00+00:00,-0.01,55313.85,2022-12,savings
2022-12-22 00:00:00+00:00,-39.25,55353.1,2022-12,bills and utilities
2022-12-22 00:00:00+00:00,-36.59,55389.69,2022-12,shopping
2022-12-22 00:00:00+00:00,-24.62,55414.31,2022-12,finances
2022-12-20 00:00:00+00:00,-150.0,55564.31,2022-12,rent
2022-12-20 00:00:00+00:00,20.29,55544.02,2022-12,taxes
2022-12-20 00:00:00+00:00,-677.11,56221.13,2022-12,business services
2022-12-20 00:00:00+00:00,334.31,55886.82,2022-12,taxes
2022-12-19 00:00:00+00:00,-9.27,55896.09,2022-12,shopping
2022-12-19 00:00:00+00:00,1450.42,54445.67,2022-12,salary
2022-12-18 00:00:00+00:00,67.94,54377.73,2022-12,finances
2022-12-17 00:00:00+00:00,239.04,54138.69,2022-12,transfer
2022-12-17 00:00:00+00:00,-17.5,54156.19,2022-12,finances
2022-12-17 00:00:00+00:00,-40.0,54196.19,2022-12,finances
2022-12-17 00:00:00+00:00,-21.74,54217.93,2022-12,transport
2022-12-17 00:00:00+00:00,-0.63,54218.56,2022-12,savings
2022-12-17 00:00:00+00:00,-6.37,54224.93,2022-12,groceries / food spend
2022-12-15 00:00:00+00:00,-25.47,54250.4,2022-12,groceries / food spend
2022-12-15 00:00:00+00:00,-0.55,54250.95,2022-12,savings
2022-12-15 00:00:00+00:00,-15.45,54266.4,2022-12,shopping
2022-12-15 00:00:00+00:00,-0.51,54266.91,2022-12,savings
2022-12-15 00:00:00+00:00,-3.59,54270.5,2022-12,shopping
2022-12-15 00:00:00+00:00,-10.0,54280.5,2022-12,shopping
2022-12-14 00:00:00+00:00,-5.27,54285.77,2022-12,entertainment
2022-12-14 00:00:00+00:00,-36.1,54321.87,2022-12,entertainment
2022-12-14 00:00:00+00:00,78.31,54243.56,2022-12,entertainment
2022-12-12 00:00:00+00:00,-0.45,54244.01,2022-12,savings
2022-12-12 00:00:00+00:00,-23.11,54267.12,2022-12,transport
2022-12-11 00:00:00+00:00,50.0,54217.12,2022-12,finances
2022-12-11 00:00:00+00:00,42.93,54174.19,2022-12,transfer
2022-12-11 00:00:00+00:00,22.42,54151.77,2022-12,taxes
2022-12-11 00:00:00+00:00,-17.0,54168.77,2022-12,holidays
2022-12-10 00:00:00+00:00,-41.22,54209.99,2022-12,finances
2022-12-10 00:00:00+00:00,-5.0,54214.99,2022-12,groceries / food spend
2022-12-10 00:00:00+00:00,41.48,54173.51,2022-12,transfer
2022-12-10 00:00:00+00:00,50.36,54123.15,2022-12,finances
2022-12-10 00:00:00+00:00,-30.0,54153.15,2022-12,transfer
2022-12-10 00:00:00+00:00,-21.67,54174.82,2022-12,bills and utilities
2022-12-09 00:00:00+00:00,-22.48,54197.3,2022-12,transport
2022-12-09 00:00:00+00:00,-20.17,54217.47,2022-12,taxes
2022-12-09 00:00:00+00:00,-0.41,54217.88,2022-12,savings
2022-12-09 00:00:00+00:00,98.28,54119.6,2022-12,transfer
2022-12-08 00:00:00+00:00,-0.01,54119.61,2022-12,savings
2022-12-08 00:00:00+00:00,21.42,54098.19,2022-12,taxes
2022-12-08 00:00:00+00:00,-14.99,54113.18,2022-12,fees and charges
2022-12-08 00:00:00+00:00,-100.0,54213.18,2022-12,rent
2022-12-08 00:00:00+00:00,-1.63,54214.81,2022-12,entertainment
2022-12-08 00:00:00+00:00,-0.69,54215.5,2022-12,savings
2022-12-08 00:00:00+00:00,-1.11,54216.61,2022-12,savings
2022-12-08 00:00:00+00:00,-22.05,54238.66,2022-12,groceries / food spend
2022-12-07 00:00:00+00:00,-82.37,54321.03,2022-12,bills and utilities
2022-12-07 00:00:00+00:00,-1.15,54322.18,2022-12,savings
2022-12-07 00:00:00+00:00,-45.99,54368.17,2022-12,transfer
2022-12-06 00:00:00+00:00,-28.25,54396.42,2022-12,bills and utilities
2022-12-06 00:00:00+00:00,22.42,54374.0,2022-12,taxes
2022-12-06 00:00:00+00:00,-21.53,54395.53,2022-12,groceries / food spend
2022-12-06 00:00:00+00:00,-50.0,54445.53,2022-12,bills and utilities
2022-12-06 00:00:00+00:00,-9.71,54455.24,2022-12,home and garden
2022-12-06 00:00:00+00:00,360.86,54094.38,2022-12,taxes
2022-12-06 00:00:00+00:00,145.48,53948.9,2022-12,transfer
2022-12-06 00:00:00+00:00,66.54,53882.36,2022-12,transfer
2022-12-06 00:00:00+00:00,-0.01,53882.37,2022-12,savings
2022-12-06 00:00:00+00:00,6.0,53876.37,2022-12,shopping
2022-12-05 00:00:00+00:00,-60.0,53936.37,2022-12,transfer
2022-12-05 00:00:00+00:00,-1.89,53938.26,2022-12,savings
2022-12-05 00:00:00+00:00,-6.08,53944.34,2022-12,finances
2022-12-05 00:00:00+00:00,-4.98,53949.32,2022-12,shopping
2022-12-05 00:00:00+00:00,-23.15,53972.47,2022-12,transfer
2022-12-05 00:00:00+00:00,-12.36,53984.83,2022-12,finances
2022-12-05 00:00:00+00:00,-6.37,53991.2,2022-12,groceries / food spend
2022-12-05 00:00:00+00:00,-20.0,54011.2,2022-12,shopping
2022-12-04 00:00:00+00:00,11.44,53999.76,2022-12,transfer
2022-12-04 00:00:00+00:00,70.0,53929.76,2022-12,transfer
2022-12-04 00:00:00+00:00,44.22,53885.54,2022-12,transfer
